,execution_time,sup_min,number of patterns,memory_usage,dataset,algorithm
5,862.0006806850433,0.3,541,150.794921875,PCA Cargo 2000,Graank
6,839.6047422885895,0.34,488,144.263671875,PCA Cargo 2000,Graank
7,817.298830986023,0.38,479,135.560546875,PCA Cargo 2000,Graank
8,800.0456357002258,0.4,470,130.466796875,PCA Cargo 2000,Graank
9,725.4497623443604,0.5,67,25.4072265625,PCA Cargo 2000,Graank
10,775.6430015563965,0.6,7,9.2841796875,PCA Cargo 2000,Graank
11,755.5062980651855,0.7,4,8.203125,PCA Cargo 2000,Graank
12,708.2376008033752,0.8,2,8.7236328125,PCA Cargo 2000,Graank
13,704.8682999610901,0.9,0,5.7529296875,PCA Cargo 2000,Graank
14,702.752769947052,1.0,0,5.1748046875,PCA Cargo 2000,Graank
0,172638.2353270054,0.34,41522,31800.43359375,Chickenpox,Graank
1,30516.86672568321,0.38,22932,17329.8974609375,Chickenpox,Graank
2,10529.31548643112,0.4,16067,12136.8115234375,Chickenpox,Graank
3,144.3057799339294,0.5,2280,1281.6005859375,Chickenpox,Graank
4,17.55262279510498,0.6,386,104.4052734375,Chickenpox,Graank
5,11.58083653450012,0.7,117,43.1513671875,Chickenpox,Graank
6,9.806201934814451,0.8,1,7.0341796875,Chickenpox,Graank
7,9.789552211761476,0.9,0,5.6689453125,Chickenpox,Graank
8,9.308707237243652,1.0,0,6.962890625,Chickenpox,Graank
0,21534.12105250359,0.04,17808,12711.37109375,PCA Chickenpox,Graank
1,3109.065660476685,0.08,2645,1300.66015625,PCA Chickenpox,Graank
2,2242.438497304916,0.1,1428,495.8662109375,PCA Chickenpox,Graank
3,1944.275930166245,0.14,391,112.9755859375,PCA Chickenpox,Graank
4,1862.344859361649,0.18,105,38.0107421875,PCA Chickenpox,Graank
5,1865.536128997803,0.2,107,38.4794921875,PCA Chickenpox,Graank
6,1861.647890329361,0.24,390,398.3427734375,PCA Chickenpox,Graank
7,1616.421121120453,0.28,2219,1696.7666015625,PCA Chickenpox,Graank
8,1302.417155981064,0.3,3141,2374.8271484375,PCA Chickenpox,Graank
9,592.3153891563416,0.34,3270,2490.0537109375,PCA Chickenpox,Graank
10,212.6374197006226,0.38,2447,1847.4130859375,PCA Chickenpox,Graank
11,122.6661539077759,0.4,1892,1410.2255859375,PCA Chickenpox,Graank
12,16.75205707550049,0.5,475,195.4208984375,PCA Chickenpox,Graank
13,8.494632005691528,0.6,112,38.96875,PCA Chickenpox,Graank
14,7.503641605377197,0.7,44,19.59765625,PCA Chickenpox,Graank
15,7.109068632125855,0.8,0,4.3564453125,PCA Chickenpox,Graank
16,7.121989011764526,0.9,0,4.8564453125,PCA Chickenpox,Graank
17,6.815718650817871,1.0,0,4.3408203125,PCA Chickenpox,Graank
