Dataset,Algorithm,Support,Run-time (s),Memory (KiB),Nb Motifs,Supports motifs,Motifs détectés
Chickenpox,PSO-GRAANK,0.34,5.95919394493103,77.5,4,"[0.359, 0.353, 0.351, 0.346]","[['BUDAPEST+', 'BARANYA+', 'BACS+', 'BEKES+', 'CSONGRAD+', 'GYOR+', 'JASZ+', 'KOMAROM+', 'PEST+'], ['BUDAPEST+', 'BARANYA+', 'BACS+', 'BORSOD+', 'JASZ+', 'NOGRAD+', 'SOMOGY+', 'VAS+'], ['BUDAPEST+', 'BEKES+', 'CSONGRAD+', 'FEJER+', 'GYOR+', 'HAJDU+', 'SOMOGY+', 'SZABOLCS+'], ['BUDAPEST+', 'BARANYA+', 'BACS+', 'BEKES+', 'BORSOD+', 'CSONGRAD+', 'FEJER+', 'GYOR+', 'HEVES+']]"
Chickenpox,GA-GRAANK,0.34,5.737857818603516,88.3,5,"[0.342, 0.341, 0.344, 0.363, 0.356]","[['BUDAPEST+', 'BACS+', 'BORSOD+', 'FEJER+', 'GYOR+', 'HEVES+', 'NOGRAD+', 'PEST+', 'SOMOGY+', 'SZABOLCS+'], ['BUDAPEST+', 'BACS+', 'BORSOD+', 'CSONGRAD+', 'GYOR+', 'HAJDU+', 'JASZ+', 'KOMAROM+', 'NOGRAD+'], ['BUDAPEST+', 'BARANYA+', 'CSONGRAD+', 'FEJER+', 'HAJDU+', 'JASZ+', 'NOGRAD+', 'PEST+', 'SOMOGY+'], ['BUDAPEST+', 'BARANYA+', 'BACS+', 'BEKES+', 'KOMAROM+', 'NOGRAD+', 'PEST+', 'TOLNA+'], ['BUDAPEST+', 'BACS+', 'BEKES+', 'CSONGRAD+', 'FEJER+', 'HAJDU+', 'HEVES+', 'JASZ+']]"
Chickenpox,PRS-GRAANK,0.34,0.7105367183685303,57.1,3,"[0.369, 0.35, 0.356]","[['BUDAPEST+', 'BARANYA+', 'BEKES+', 'CSONGRAD+', 'FEJER+', 'HEVES+', 'SOMOGY+'], ['BUDAPEST+', 'BARANYA+', 'BORSOD+', 'CSONGRAD+', 'HEVES+', 'NOGRAD+', 'SOMOGY+', 'VESZPREM+'], ['BUDAPEST+', 'BARANYA+', 'BEKES+', 'BORSOD+', 'GYOR+', 'HAJDU+', 'HEVES+', 'PEST+', 'SOMOGY+', 'SZABOLCS+']]"
Chickenpox,PRS-GRAANK,0.38,0.9482364654541016,63.3,5,"[0.395, 0.391, 0.383, 0.389, 0.388]","[['BUDAPEST+', 'BEKES+', 'BORSOD+', 'CSONGRAD+', 'GYOR+', 'HAJDU+', 'HEVES+'], ['BUDAPEST+', 'BARANYA+', 'BORSOD+', 'JASZ+', 'KOMAROM+', 'NOGRAD+', 'SOMOGY+'], ['BUDAPEST+', 'BARANYA+', 'BEKES+', 'BORSOD+', 'HAJDU+', 'HEVES+', 'JASZ+', 'KOMAROM+'], ['BUDAPEST+', 'BACS+', 'BORSOD+', 'CSONGRAD+', 'FEJER+', 'HAJDU+', 'HEVES+', 'PEST+'], ['BUDAPEST+', 'BARANYA+', 'BEKES+', 'FEJER+', 'GYOR+', 'HAJDU+', 'JASZ+', 'PEST+', 'SOMOGY+']]"
Chickenpox,PSO-GRAANK,0.38,4.165442943572998,79.9,6,"[0.391, 0.394, 0.39, 0.402, 0.383, 0.389]","[['BUDAPEST+', 'BACS+', 'BEKES+', 'BORSOD+', 'CSONGRAD+', 'FEJER+', 'GYOR+'], ['BUDAPEST+', 'BACS+', 'BEKES+', 'CSONGRAD+', 'FEJER+', 'GYOR+', 'HAJDU+'], ['BUDAPEST+', 'BACS+', 'BEKES+', 'BORSOD+', 'HEVES+', 'JASZ+', 'PEST+', 'VESZPREM+'], ['BUDAPEST+', 'BACS+', 'BEKES+', 'CSONGRAD+', 'HEVES+', 'JASZ+'], ['BUDAPEST+', 'BORSOD+', 'CSONGRAD+', 'HEVES+', 'NOGRAD+', 'PEST+', 'VESZPREM+'], ['BUDAPEST+', 'BARANYA+', 'BACS+', 'BEKES+', 'BORSOD+', 'FEJER+', 'HAJDU+', 'HEVES+']]"
Chickenpox,GA-GRAANK,0.38,4.587589979171753,89.2,5,"[0.423, 0.396, 0.387, 0.395, 0.39]","[['BUDAPEST+', 'BEKES+', 'GYOR+', 'HAJDU+', 'SOMOGY+', 'TOLNA+'], ['BUDAPEST+', 'BACS+', 'BEKES+', 'BORSOD+', 'FEJER+', 'GYOR+', 'HAJDU+', 'HEVES+'], ['BUDAPEST+', 'BACS+', 'BEKES+', 'FEJER+', 'HAJDU+', 'HEVES+', 'KOMAROM+', 'PEST+'], ['BUDAPEST+', 'BARANYA+', 'BEKES+', 'BORSOD+', 'GYOR+', 'HAJDU+', 'HEVES+', 'SOMOGY+'], ['BUDAPEST+', 'BACS+', 'CSONGRAD+', 'FEJER+', 'HAJDU+', 'HEVES+', 'JASZ+']]"
Chickenpox,GA-GRAANK,0.4,4.908430337905884,82.9,2,"[0.416, 0.422]","[['BUDAPEST+', 'BARANYA+', 'BACS+', 'BEKES+', 'BORSOD+', 'CSONGRAD+'], ['BUDAPEST+', 'BACS+', 'BEKES+', 'BORSOD+', 'CSONGRAD+', 'GYOR+']]"
Chickenpox,PRS-GRAANK,0.4,1.1695225238800049,57.5,4,"[0.401, 0.411, 0.401, 0.45]","[['BUDAPEST+', 'BARANYA+', 'BACS+', 'BEKES+', 'BORSOD+', 'CSONGRAD+', 'PEST+'], ['BUDAPEST+', 'BACS+', 'BEKES+', 'BORSOD+', 'CSONGRAD+', 'JASZ+'], ['BUDAPEST+', 'BACS+', 'BEKES+', 'BORSOD+', 'CSONGRAD+', 'GYOR+', 'HAJDU+'], ['BUDAPEST+', 'BARANYA+', 'BACS+', 'BEKES+', 'GYOR+', 'JASZ+']]"
Chickenpox,PSO-GRAANK,0.4,3.8156633377075195,73.2,3,"[0.409, 0.405, 0.414]","[['BUDAPEST+', 'BACS+', 'BEKES+', 'BORSOD+', 'CSONGRAD+', 'FEJER+'], ['BUDAPEST+', 'BACS+', 'BORSOD+', 'CSONGRAD+', 'FEJER+', 'GYOR+', 'HAJDU+', 'PEST+'], ['BUDAPEST+', 'BACS+', 'CSONGRAD+', 'FEJER+', 'GYOR+', 'HEVES+', 'PEST+']]"
Chickenpox,PSO-GRAANK,0.5,6.654433727264404,69.2,3,"[0.526, 0.5, 0.531]","[['BUDAPEST+', 'BEKES+', 'BORSOD+', 'FEJER+'], ['BUDAPEST+', 'BACS+', 'BEKES+', 'HAJDU+', 'PEST+'], ['BUDAPEST+', 'BARANYA+', 'BACS+', 'BEKES+']]"
