Dataset;Support;Size;Temps d'exécution (s);Mémoire maximale (Ko);Titre variables;Supports motifs;Motifs detectés
./data/AfterPCA/Air_quality.csv;0.1;58;1354.9277048110962;36.90625;['1 : AH', '2 : C6H6(GT)', '3 : CO(GT)', '4 : NMHC(GT)', '5 : NO2(GT)', '6 : NOx(GT)', '7 : PT08.S1(CO)', '8 : PT08.S3(NOx)', '9 : T'];[0.1193598763923441, 0.13519866080740206, 0.11528305073973467, 0.11591205949111906, 0.11936693569224523, 0.10858925808494307, 0.11611111347182629, 0.10087305491728671, 0.1264388463815468, 0.10067907266660553, 0.11174720962323763, 0.10449088900253829, 0.1112510482146528, 0.12181658129482913, 0.10116831184907372, 0.10789317456168258, 0.1027069650799508, 0.1085627571532754, 0.10009787982037668, 0.10772781788632864, 0.11071084042998584, 0.147342141603342, 0.11970027629048914, 0.11652206067772113, 0.10417280928563404, 0.10171829756370082, 0.1017616585708605, 0.10095673846271659, 0.10489500536483946, 0.12082016910975557, 0.10330748532979245, 0.10770561193324159, 0.10420545569197291, 0.11296289417223038, 0.11023073949981685, 0.10711402432502241, 0.11722831050666446, 0.15773914246549042, 0.10304645115286591, 0.10545787601520842, 0.10188863458655782, 0.10512947007320608, 0.1105909465598204, 0.12223079542592091, 0.10435406651998858, 0.10565523941924031, 0.12405812604692959, 0.10126853563116515, 0.1001636752369309, 0.14607402633178262, 0.10117427455869894, 0.11439408155606891, 0.1050929170640093, 0.11263987979908456, 0.10251798602240343, 0.23473979260645025, 0.16097392385999046, 0.17920069352024348];[{'4-', '1+'}, {'7-', '2+'}, {'3+', '4+'}, {'7+', '4+'}, {'8+', '4+'}, {'9-', '4+'}, {'6-', '5+'}, {'9-', '1+', '2+'}, {'9-', '1+', '2-'}, {'3+', '9-', '1+'}, {'6+', '9-', '1+'}, {'7-', '9-', '1+'}, {'3+', '6-', '2+'}, {'8+', '3+', '2+'}, {'8+', '5+', '2+'}, {'3+', '5-', '6-'}, {'8-', '3+', '5-'}, {'3+', '5-', '9+'}, {'7+', '3+', '6-'}, {'9+', '3+', '6-'}, {'8+', '7+', '3+'}, {'8+', '7-', '3+'}, {'8+', '3+', '9+'}, {'8+', '9+', '5+'}, {'3+', '1+', '5-', '2+'}, {'1+', '3-', '8-', '2+'}, {'8+', '1+', '6-', '2+'}, {'9-', '1+', '3-', '5-'}, {'7+', '1+', '3-', '8-'}, {'9+', '1+', '3-', '8-'}, {'6-', '9-', '1+', '5-'}, {'7+', '9-', '1+', '8-'}, {'7+', '3+', '5-', '2+'}, {'7+', '3-', '8-', '2+'}, {'8+', '6-', '5-', '2+'}, {'8+', '9+', '5-', '2+'}, {'8+', '9+', '6-', '2+'}, {'8+', '3+', '5+', '6+'}, {'8+', '3+', '9-', '5+'}, {'8+', '3+', '9-', '6+'}, {'7-', '5+', '8-', '6+'}, {'7+', '1+', '8+', '9+', '2+'}, {'1+', '3-', '6-', '5-', '8-'}, {'7-', '3+', '9-', '6+', '5+'}, {'7-', '9-', '6+', '8+', '5+'}, {'7+', '1+', '3-', '6-', '5-', '2+'}, {'1+', '3-', '6-', '5-', '9+', '2+'}, {'7+', '1+', '3-', '6-', '9+', '2+'}, {'7+', '1+', '6-', '5-', '8-', '2+'}, {'7+', '1+', '6-', '5-', '9+', '2+'}, {'1+', '6-', '5-', '9+', '8-', '2+'}, {'7+', '1+', '5-', '9+', '8-', '2+'}, {'7+', '1+', '6-', '9+', '8-', '2+'}, {'7+', '1+', '3-', '6-', '5-', '9+'}, {'7+', '3-', '6-', '5-', '9+', '2+'}, {'7+', '3+', '9-', '6+', '5+', '8-', '2+'}, {'7+', '3+', '1+', '6+', '9+', '5+', '8-', '2+'}, {'7-', '1+', '2-', '3-', '6-', '5-', '8+', '9+'}]
./data/AfterPCA/Air_quality.csv;0.16;33;1329.2661592960358;21.9423828125;['1 : AH', '2 : C6H6(GT)', '3 : CO(GT)', '4 : NMHC(GT)', '5 : NO2(GT)', '6 : NOx(GT)', '7 : PT08.S1(CO)', '8 : PT08.S3(NOx)', '9 : T'];[0.22737100294557855, 0.17398364243700193, 0.2200200785679518, 0.17824307321618002, 0.1601454955978069, 0.17581734698898926, 0.1752166211284709, 0.17692049396091744, 0.17858747109970596, 0.1735983051831756, 0.1627498289661854, 0.22281250001427852, 0.19759361945292664, 0.17985759678677118, 0.17515914152150897, 0.17395143009764724, 0.16146069571433785, 0.16095678963692947, 0.16001337931519125, 0.16156599122645535, 0.1662186181564371, 0.16639950986069968, 0.16961939590395203, 0.16666385665408467, 0.18222330754198696, 0.1625800630840971, 0.18906504850150255, 0.1802831651963447, 0.17230419158382498, 0.16739594489140397, 0.23473979260645025, 0.16097392385999046, 0.17920069352024348];[{'9-', '1+'}, {'3+', '5-'}, {'8+', '7+'}, {'3-', '7+', '1+'}, {'3-', '8-', '1+'}, {'3-', '7+', '2+'}, {'8-', '6-', '2+'}, {'8+', '9+', '2+'}, {'8+', '3+', '5+'}, {'8+', '3+', '6+'}, {'7-', '3+', '9-'}, {'6+', '8+', '5+'}, {'8+', '7-', '5+'}, {'8+', '9-', '5+'}, {'8+', '7-', '6+'}, {'8+', '9-', '6+'}, {'9+', '1+', '3-', '2+'}, {'1+', '8-', '5-', '2+'}, {'6-', '1+', '8-', '5-'}, {'7+', '1+', '8-', '5-'}, {'9+', '1+', '8-', '5-'}, {'6-', '3-', '5-', '2+'}, {'7+', '8-', '5-', '2+'}, {'3+', '7-', '5+', '6+'}, {'7-', '9-', '5+', '6+'}, {'7+', '1+', '6-', '5-', '2+'}, {'1+', '6-', '5-', '9+', '2+'}, {'7+', '1+', '5-', '9+', '2+'}, {'7+', '1+', '6-', '9+', '2+'}, {'7+', '1+', '6-', '5-', '9+'}, {'7+', '3+', '9-', '6+', '5+', '8-', '2+'}, {'7+', '3+', '1+', '6+', '9+', '5+', '8-', '2+'}, {'7-', '1+', '2-', '3-', '6-', '5-', '8+', '9+'}]
./data/AfterPCA/Air_quality.csv;0.2;44;1317.9859385490417;30.3408203125;['1 : AH', '2 : C6H6(GT)', '3 : CO(GT)', '4 : NMHC(GT)', '5 : NO2(GT)', '6 : NOx(GT)', '7 : PT08.S1(CO)', '8 : PT08.S3(NOx)', '9 : T'];[0.22737100294557855, 0.23223860726089887, 0.23007268154657426, 0.24447461286136818, 0.2581821740752077, 0.2200200785679518, 0.49715501075732216, 0.21677650160561376, 0.22799631070478177, 0.23725372581395898, 0.2460399040976974, 0.22281250001427852, 0.21895672868478663, 0.22094845646465783, 0.20800361947897067, 0.2088941421655273, 0.22837952331494854, 0.22117615886632305, 0.20292992472867272, 0.2097703406416049, 0.2071743002371879, 0.2008072686389848, 0.20064522458008932, 0.20407296017188686, 0.21522884719622198, 0.21191915497849928, 0.20169557529935886, 0.20424565029471092, 0.21513353522474138, 0.2343670661407968, 0.2047370826577309, 0.20365472520978342, 0.2155781797359895, 0.20197031685473418, 0.20341370380539214, 0.20628270380598612, 0.2269927478372841, 0.25241826712875154, 0.2032557262687698, 0.21469508187942596, 0.21660502230121936, 0.23848033057444928, 0.22016163009606635, 0.23473979260645025];[{'9-', '1+'}, {'3-', '2+'}, {'8+', '2+'}, {'7-', '3+'}, {'8+', '3+'}, {'8+', '7+'}, {'8+', '9-'}, {'8-', '5-', '1+'}, {'7+', '6-', '1+'}, {'7+', '6-', '2+'}, {'6+', '7-', '5+'}, {'6+', '8+', '5+'}, {'7-', '9-', '5+'}, {'7-', '9-', '6+'}, {'6-', '1+', '5-', '2+'}, {'7+', '1+', '5-', '2+'}, {'9+', '1+', '5-', '2+'}, {'9+', '1+', '6-', '2+'}, {'7+', '9+', '1+', '5-'}, {'6-', '9+', '5-', '2+'}, {'1+', '9+', '5+', '8-', '2+'}, {'1+', '2-', '3-', '8+', '9+'}, {'1+', '2-', '5-', '8+', '9+'}, {'1+', '2-', '6-', '8+', '9+'}, {'7-', '1+', '2-', '8+', '9+'}, {'3+', '1+', '6+', '9+', '5+'}, {'3+', '1+', '6+', '9+', '8-'}, {'7+', '3+', '1+', '9+', '5+', '2+'}, {'7+', '3+', '1+', '6+', '9+', '2+'}, {'7+', '3+', '1+', '9+', '8-', '2+'}, {'7+', '1+', '6+', '9+', '5+', '2+'}, {'7+', '1+', '6+', '9+', '8-', '2+'}, {'1+', '2-', '3-', '6-', '5-', '9+'}, {'7-', '1+', '2-', '3-', '5-', '9+'}, {'7-', '1+', '2-', '3-', '6-', '9+'}, {'7-', '1+', '2-', '6-', '5-', '9+'}, {'7-', '1+', '3-', '6-', '5-', '9+'}, {'1+', '3-', '6-', '5-', '8+', '9+'}, {'7-', '1+', '3-', '6-', '8+', '9+'}, {'7-', '1+', '6-', '5-', '8+', '9+'}, {'7+', '3+', '1+', '6+', '5+', '8-', '2+'}, {'7-', '1+', '2-', '3-', '6-', '5-', '8+'}, {'7+', '3+', '6+', '9+', '5+', '8-', '2+'}, {'7+', '3+', '9-', '6+', '5+', '8-', '2+'}]
