Dataset;Support;Size;Temps d'exécution (s);Mémoire maximale (Ko);Titre variables;Supports motifs;Motifs detectés
./data/AfterPCA/Chickenpox.csv;0.6;112;8.494632005691528;38.96875;['1 : BACS', '2 : BEKES', '3 : BORSOD', '4 : CSONGRAD', '5 : FEJER', '6 : HAJDU', '7 : HEVES', '8 : JASZ', '9 : NOGRAD', '10 : SOMOGY', '11 : SZABOLCS', '12 : TOLNA', '13 : VAS', '14 : VESZPREM', '15 : ZALA'];[0.6906479581706267, 0.6985902442252961, 0.7039292254064906, 0.7075841477853524, 0.6811907545907149, 0.6834042991300255, 0.6846103499753642, 0.6739912193615285, 0.6996124458564064, 0.6671667365293681, 0.6920084423559174, 0.7035835888837411, 0.6801170751796207, 0.6354049462792596, 0.694597039292254, 0.6913098153418492, 0.7050249667232922, 0.6740353431729432, 0.6899419771879896, 0.691456894713232, 0.6878755120200616, 0.6998477728506188, 0.6916848677388753, 0.6908685772277009, 0.6742191923871718, 0.6809774895022098, 0.6607393679999412, 0.667644744486362, 0.6908538692905627, 0.6973032997256969, 0.6787860068686067, 0.6668872857237408, 0.7039807031864745, 0.6416778814687346, 0.6535766026136004, 0.6784992020944103, 0.6906406042020576, 0.6955015774262581, 0.6778373449231878, 0.6653723681984983, 0.7115994146241019, 0.6943984821408873, 0.6871989469117009, 0.6322206778888227, 0.6837867054956207, 0.6957810282318854, 0.6889197755568792, 0.669181723917312, 0.713305535332142, 0.709584427236158, 0.6953765599605827, 0.7055103286488553, 0.678697759245777, 0.674608952721336, 0.6716673652936808, 0.6957810282318854, 0.6591509107890073, 0.6937072090953883, 0.6931188916098573, 0.6984284569167751, 0.6850074642780977, 0.6702921731712519, 0.637339040012943, 0.7010685316330958, 0.6667107904780815, 0.6512306866400454, 0.6999874982534324, 0.6547017598046786, 0.6828601054559092, 0.6692699715401417, 0.625910972856502, 0.6342503732139049, 0.6111589119068105, 0.614482905700061, 0.6319338731146263, 0.6080408292334959, 0.6043638449489267, 0.6001647288959487, 0.6152550723998206, 0.6115854420838205, 0.605496356108574, 0.6007383384443414, 0.6078275641449908, 0.6172774137563336, 0.6080187673277885, 0.6207484869209668, 0.6011354527470749, 0.6055551878571271, 0.6122325913179048, 0.6429354100940573, 0.612673829432053, 0.6076584228679006, 0.6125414579978086, 0.6308160698921172, 0.6132768548547224, 0.6225355012832675, 0.6169611931078607, 0.6195056662327825, 0.6114457166810069, 0.6163287518109147, 0.6179833947389709, 0.608901243556085, 0.6162772740309308, 0.6106514880755399, 0.6107397356983696, 0.6132695008861532, 0.6001794368330869, 0.6011428067156441, 0.6096513483501371, 0.6119972643236923, 0.6265581220905861, 0.6050551179944257];[{'2+', '1+'}, {'4+', '1+'}, {'9+', '1+'}, {'11+', '1+'}, {'12+', '1+'}, {'13+', '1+'}, {'15+', '1+'}, {'2+', '4+'}, {'7+', '2+'}, {'9+', '2+'}, {'10+', '2+'}, {'11+', '2+'}, {'12+', '2+'}, {'13+', '2+'}, {'15+', '2+'}, {'4+', '3+'}, {'9+', '3+'}, {'12+', '3+'}, {'13+', '3+'}, {'15+', '3+'}, {'5+', '4+'}, {'6+', '4+'}, {'7+', '4+'}, {'8+', '4+'}, {'9+', '4+'}, {'10+', '4+'}, {'11+', '4+'}, {'12+', '4+'}, {'13+', '4+'}, {'14+', '4+'}, {'15+', '4+'}, {'5+', '9+'}, {'5+', '11+'}, {'5+', '12+'}, {'13+', '5+'}, {'5+', '15+'}, {'9+', '6+'}, {'12+', '6+'}, {'13+', '6+'}, {'15+', '6+'}, {'7+', '8+'}, {'7+', '9+'}, {'7+', '11+'}, {'7+', '12+'}, {'7+', '13+'}, {'7+', '14+'}, {'7+', '15+'}, {'8+', '9+'}, {'8+', '11+'}, {'8+', '12+'}, {'13+', '8+'}, {'10+', '9+'}, {'11+', '9+'}, {'12+', '9+'}, {'13+', '9+'}, {'14+', '9+'}, {'15+', '9+'}, {'10+', '11+'}, {'10+', '12+'}, {'10+', '13+'}, {'10+', '15+'}, {'12+', '11+'}, {'13+', '11+'}, {'11+', '14+'}, {'11+', '15+'}, {'13+', '12+'}, {'12+', '14+'}, {'12+', '15+'}, {'13+', '14+'}, {'13+', '15+'}, {'3+', '5+', '1+'}, {'3+', '6+', '1+'}, {'3+', '7+', '1+'}, {'3+', '14+', '1+'}, {'6+', '5+', '1+'}, {'7+', '5+', '1+'}, {'8+', '5+', '1+'}, {'10+', '5+', '1+'}, {'5+', '14+', '1+'}, {'7+', '6+', '1+'}, {'8+', '6+', '1+'}, {'10+', '6+', '1+'}, {'6+', '14+', '1+'}, {'8+', '14+', '1+'}, {'10+', '14+', '1+'}, {'6+', '2+', '3+'}, {'5+', '2+', '6+'}, {'8+', '2+', '6+'}, {'8+', '14+', '2+'}, {'6+', '5+', '3+'}, {'7+', '5+', '3+'}, {'10+', '5+', '3+'}, {'5+', '14+', '3+'}, {'7+', '6+', '3+'}, {'8+', '6+', '3+'}, {'10+', '6+', '3+'}, {'6+', '11+', '3+'}, {'6+', '14+', '3+'}, {'8+', '14+', '3+'}, {'10+', '14+', '3+'}, {'7+', '5+', '6+'}, {'8+', '5+', '6+'}, {'10+', '5+', '6+'}, {'5+', '14+', '6+'}, {'8+', '5+', '14+'}, {'10+', '5+', '14+'}, {'10+', '7+', '6+'}, {'10+', '8+', '6+'}, {'8+', '14+', '6+'}, {'10+', '14+', '6+'}, {'10+', '8+', '14+'}, {'8+', '15+', '14+'}]
./data/AfterPCA/Chickenpox.csv;0.7;44;7.503641605377197;19.59765625;['1 : BACS', '2 : BEKES', '3 : BORSOD', '4 : CSONGRAD', '5 : FEJER', '6 : HAJDU', '7 : HEVES', '8 : JASZ', '9 : NOGRAD', '10 : SOMOGY', '11 : SZABOLCS', '12 : TOLNA', '13 : VAS', '14 : VESZPREM', '15 : ZALA'];[0.7429199667600621, 0.748501628904038, 0.7430376302571683, 0.7250424691684868, 0.7256749104654326, 0.7039292254064906, 0.7082460049565749, 0.7075841477853524, 0.7365440760106191, 0.7273221994249197, 0.7287929931387473, 0.7374780300188997, 0.7035835888837411, 0.71229804163817, 0.7463027923018657, 0.7700928806230282, 0.7393018142240461, 0.7166001132511159, 0.7050249667232922, 0.7273516152991962, 0.7324846853604547, 0.7354336267566792, 0.7566057022672286, 0.7246085850229076, 0.7194460990873724, 0.7260573168310278, 0.7039807031864745, 0.7288224090130239, 0.738610541178547, 0.7277413756333605, 0.7339554790742825, 0.7177032085364867, 0.7202770975356851, 0.7115994146241019, 0.7102389304388113, 0.7256675564968635, 0.713305535332142, 0.709584427236158, 0.7569660467271163, 0.7140703480633324, 0.7055103286488553, 0.7538920878652164, 0.7010685316330958, 0.7201667880071481];[{'3+', '1+'}, {'5+', '1+'}, {'6+', '1+'}, {'7+', '1+'}, {'8+', '1+'}, {'9+', '1+'}, {'10+', '1+'}, {'11+', '1+'}, {'14+', '1+'}, {'2+', '3+'}, {'2+', '6+'}, {'8+', '2+'}, {'11+', '2+'}, {'14+', '2+'}, {'5+', '3+'}, {'6+', '3+'}, {'7+', '3+'}, {'8+', '3+'}, {'9+', '3+'}, {'10+', '3+'}, {'11+', '3+'}, {'14+', '3+'}, {'5+', '6+'}, {'7+', '5+'}, {'8+', '5+'}, {'10+', '5+'}, {'5+', '11+'}, {'5+', '14+'}, {'7+', '6+'}, {'8+', '6+'}, {'10+', '6+'}, {'11+', '6+'}, {'14+', '6+'}, {'7+', '8+'}, {'10+', '7+'}, {'10+', '8+'}, {'8+', '11+'}, {'8+', '12+'}, {'8+', '14+'}, {'8+', '15+'}, {'10+', '9+'}, {'10+', '14+'}, {'11+', '14+'}, {'15+', '14+'}]
./data/AfterPCA/Chickenpox.csv;0.8;0;7.1090686321258545;4.3564453125;0;0;0
./data/AfterPCA/Chickenpox.csv;0.9;0;7.121989011764526;4.8564453125;0;0;0
./data/AfterPCA/Chickenpox.csv;1;0;6.815718650817871;4.3408203125;0;0;0
